,YearSchluessel,Year,Stadt-/Landkreis,Anteil Schulabgänger mit allgem. Hochschulreife in %,Anteil Schulabgänger ohne Hauptschulabschluss in %,LAND_NAME,LAND_ABK
5374,201705374,2017,Oberbergischer Kreis,36.2,4.0,Nordrhein-Westfalen,NW
5378,200905378,2009,Rheinisch-Bergischer Kreis,34.6,6.1000000000000005,Nordrhein-Westfalen,NW
5378,201305378,2013,Rheinisch-Bergischer Kreis,51.5,2.7,Nordrhein-Westfalen,NW
5378,201705378,2017,Rheinisch-Bergischer Kreis,44.1,3.4000000000000004,Nordrhein-Westfalen,NW
5382,200905382,2009,Rhein-Sieg-Kreis,35.5,5.300000000000001,Nordrhein-Westfalen,NW
5382,201305382,2013,Rhein-Sieg-Kreis,50.0,4.5,Nordrhein-Westfalen,NW
5382,201705382,2017,Rhein-Sieg-Kreis,42.0,4.3,Nordrhein-Westfalen,NW
5512,200905512,2009,Bottrop,28.5,7.300000000000001,Nordrhein-Westfalen,NW
5512,201305512,2013,Bottrop,47.900000000000006,4.5,Nordrhein-Westfalen,NW
5512,201705512,2017,Bottrop,39.5,5.6000000000000005,Nordrhein-Westfalen,NW
5513,200905513,2009,Gelsenkirchen,26.5,9.3,Nordrhein-Westfalen,NW
5513,201305513,2013,Gelsenkirchen,36.9,8.5,Nordrhein-Westfalen,NW
5513,201705513,2017,Gelsenkirchen,30.700000000000003,10.0,Nordrhein-Westfalen,NW
5515,200905515,2009,Münster,41.6,6.7,Nordrhein-Westfalen,NW
5515,201305515,2013,Münster,59.1,3.7,Nordrhein-Westfalen,NW
5515,201705515,2017,Münster,51.5,5.9,Nordrhein-Westfalen,NW
5554,200905554,2009,Kreis Borken,20.700000000000003,5.9,Nordrhein-Westfalen,NW
5554,201305554,2013,Kreis Borken,38.7,4.0,Nordrhein-Westfalen,NW
5554,201705554,2017,Kreis Borken,29.200000000000003,5.800000000000001,Nordrhein-Westfalen,NW
5558,200905558,2009,Kreis Coesfeld,28.8,3.4000000000000004,Nordrhein-Westfalen,NW
5558,201305558,2013,Kreis Coesfeld,44.300000000000004,2.7,Nordrhein-Westfalen,NW
5558,201705558,2017,Kreis Coesfeld,38.400000000000006,4.6000000000000005,Nordrhein-Westfalen,NW
5562,200905562,2009,Kreis Recklinghausen,28.700000000000003,5.800000000000001,Nordrhein-Westfalen,NW
5562,201305562,2013,Kreis Recklinghausen,42.6,5.1000000000000005,Nordrhein-Westfalen,NW
5562,201705562,2017,Kreis Recklinghausen,33.300000000000004,6.5,Nordrhein-Westfalen,NW
5566,200905566,2009,Kreis Steinfurt,26.5,4.6000000000000005,Nordrhein-Westfalen,NW
5566,201305566,2013,Kreis Steinfurt,41.7,3.5,Nordrhein-Westfalen,NW
5566,201705566,2017,Kreis Steinfurt,30.900000000000002,6.5,Nordrhein-Westfalen,NW
5570,200905570,2009,Kreis Warendorf,27.700000000000003,3.8000000000000003,Nordrhein-Westfalen,NW
5570,201305570,2013,Kreis Warendorf,43.300000000000004,2.9000000000000004,Nordrhein-Westfalen,NW
5570,201705570,2017,Kreis Warendorf,34.7,4.800000000000001,Nordrhein-Westfalen,NW
5711,200905711,2009,Bielefeld,35.0,5.800000000000001,Nordrhein-Westfalen,NW
5711,201305711,2013,Bielefeld,47.5,4.3,Nordrhein-Westfalen,NW
5711,201705711,2017,Bielefeld,39.6,6.800000000000001,Nordrhein-Westfalen,NW
5754,200905754,2009,Kreis Gütersloh,26.1,4.6000000000000005,Nordrhein-Westfalen,NW
5754,201305754,2013,Kreis Gütersloh,44.0,3.4000000000000004,Nordrhein-Westfalen,NW
5754,201705754,2017,Kreis Gütersloh,34.9,6.7,Nordrhein-Westfalen,NW
5758,200905758,2009,Kreis Herford,32.800000000000004,5.5,Nordrhein-Westfalen,NW
5758,201305758,2013,Kreis Herford,48.6,3.9000000000000004,Nordrhein-Westfalen,NW
5758,201705758,2017,Kreis Herford,39.2,4.0,Nordrhein-Westfalen,NW
5762,200905762,2009,Kreis Höxter,30.200000000000003,5.7,Nordrhein-Westfalen,NW
