,YearSchluessel,Year,Stadt-/Landkreis,Beschäftigtenquote in %,LAND_NAME,LAND_ABK
5358,200905358,2009,Kreis Düren,46.6,Nordrhein-Westfalen,NW
5362,201705362,2017,Rhein-Erft-Kreis,58.900000000000006,Nordrhein-Westfalen,NW
5362,201305362,2013,Rhein-Erft-Kreis,54.300000000000004,Nordrhein-Westfalen,NW
5362,200905362,2009,Rhein-Erft-Kreis,49.2,Nordrhein-Westfalen,NW
5366,201705366,2017,Kreis Euskirchen,56.800000000000004,Nordrhein-Westfalen,NW
5366,201305366,2013,Kreis Euskirchen,52.5,Nordrhein-Westfalen,NW
5366,200905366,2009,Kreis Euskirchen,48.5,Nordrhein-Westfalen,NW
5370,201705370,2017,Kreis Heinsberg,54.300000000000004,Nordrhein-Westfalen,NW
5370,201305370,2013,Kreis Heinsberg,49.900000000000006,Nordrhein-Westfalen,NW
5370,200905370,2009,Kreis Heinsberg,44.5,Nordrhein-Westfalen,NW
5374,201705374,2017,Oberbergischer Kreis,59.800000000000004,Nordrhein-Westfalen,NW
5374,201305374,2013,Oberbergischer Kreis,56.2,Nordrhein-Westfalen,NW
5374,200905374,2009,Oberbergischer Kreis,48.5,Nordrhein-Westfalen,NW
5378,201705378,2017,Rheinisch-Bergischer Kreis,58.0,Nordrhein-Westfalen,NW
5378,201305378,2013,Rheinisch-Bergischer Kreis,54.6,Nordrhein-Westfalen,NW
5378,200905378,2009,Rheinisch-Bergischer Kreis,51.1,Nordrhein-Westfalen,NW
5382,201705382,2017,Rhein-Sieg-Kreis,56.6,Nordrhein-Westfalen,NW
5382,201305382,2013,Rhein-Sieg-Kreis,53.6,Nordrhein-Westfalen,NW
5382,200905382,2009,Rhein-Sieg-Kreis,48.400000000000006,Nordrhein-Westfalen,NW
5512,201705512,2017,Bottrop,52.6,Nordrhein-Westfalen,NW
5512,201305512,2013,Bottrop,49.6,Nordrhein-Westfalen,NW
5512,200905512,2009,Bottrop,47.400000000000006,Nordrhein-Westfalen,NW
5513,201705513,2017,Gelsenkirchen,47.1,Nordrhein-Westfalen,NW
5513,201305513,2013,Gelsenkirchen,44.5,Nordrhein-Westfalen,NW
5513,200905513,2009,Gelsenkirchen,42.7,Nordrhein-Westfalen,NW
5515,201705515,2017,Münster,51.5,Nordrhein-Westfalen,NW
5515,201305515,2013,Münster,49.300000000000004,Nordrhein-Westfalen,NW
5515,200905515,2009,Münster,48.300000000000004,Nordrhein-Westfalen,NW
5554,201705554,2017,Kreis Borken,59.7,Nordrhein-Westfalen,NW
5554,201305554,2013,Kreis Borken,55.2,Nordrhein-Westfalen,NW
5554,200905554,2009,Kreis Borken,49.900000000000006,Nordrhein-Westfalen,NW
5558,201705558,2017,Kreis Coesfeld,60.5,Nordrhein-Westfalen,NW
5558,201305558,2013,Kreis Coesfeld,56.400000000000006,Nordrhein-Westfalen,NW
5558,200905558,2009,Kreis Coesfeld,51.5,Nordrhein-Westfalen,NW
5562,201705562,2017,Kreis Recklinghausen,53.7,Nordrhein-Westfalen,NW
5562,201305562,2013,Kreis Recklinghausen,49.5,Nordrhein-Westfalen,NW
5562,200905562,2009,Kreis Recklinghausen,46.0,Nordrhein-Westfalen,NW
5566,201705566,2017,Kreis Steinfurt,61.0,Nordrhein-Westfalen,NW
5566,201305566,2013,Kreis Steinfurt,56.6,Nordrhein-Westfalen,NW
5566,200905566,2009,Kreis Steinfurt,52.0,Nordrhein-Westfalen,NW
5570,201705570,2017,Kreis Warendorf,61.0,Nordrhein-Westfalen,NW
5570,201305570,2013,Kreis Warendorf,57.2,Nordrhein-Westfalen,NW
