,YearSchluessel,Year,Stadt-/Landkreis,Anteil männl. Schulabg. mit allgem. Hochschulreife in %,Anteil männl. Schulabgänger ohne Hauptschulabschl. In %,Anteil männl. Schulabgänger mit Hauptschulabschl. In %,LAND_NAME,LAND_ABK
3461,200903461,2009,Landkreis Wesermarsch,44.400000000000006,58.800000000000004,60.7,Niedersachsen,NI
3461,201303461,2013,Landkreis Wesermarsch,46.400000000000006,70.5,59.0,Niedersachsen,NI
3461,201703461,2017,Landkreis Wesermarsch,36.1,60.5,67.8,Niedersachsen,NI
3462,200903462,2009,Landkreis Wittmund,47.900000000000006,51.400000000000006,60.2,Niedersachsen,NI
3462,201303462,2013,Landkreis Wittmund,51.800000000000004,54.5,61.400000000000006,Niedersachsen,NI
3462,201703462,2017,Landkreis Wittmund,37.7,59.5,62.900000000000006,Niedersachsen,NI
4011,200904011,2009,Bremen,46.1,56.800000000000004,54.6,Bremen,HB
4011,201304011,2013,Bremen,48.6,59.400000000000006,58.300000000000004,Bremen,HB
4011,201704011,2017,Bremen,46.6,63.400000000000006,57.300000000000004,Bremen,HB
4012,200904012,2009,Bremerhaven,41.1,62.1,55.5,Bremen,HB
4012,201304012,2013,Bremerhaven,49.300000000000004,57.7,58.300000000000004,Bremen,HB
4012,201704012,2017,Bremerhaven,43.0,52.1,66.9,Bremen,HB
5111,200905111,2009,Düsseldorf,46.400000000000006,60.800000000000004,56.0,Nordrhein-Westfalen,NW
5111,201305111,2013,Düsseldorf,42.6,57.900000000000006,56.0,Nordrhein-Westfalen,NW
5111,201705111,2017,Düsseldorf,44.6,58.1,57.5,Nordrhein-Westfalen,NW
5112,200905112,2009,Duisburg,43.300000000000004,60.6,53.800000000000004,Nordrhein-Westfalen,NW
5112,201305112,2013,Duisburg,45.2,58.6,55.5,Nordrhein-Westfalen,NW
5112,201705112,2017,Duisburg,47.1,60.6,56.5,Nordrhein-Westfalen,NW
5113,200905113,2009,Essen,42.800000000000004,51.7,58.900000000000006,Nordrhein-Westfalen,NW
5113,201305113,2013,Essen,43.2,54.900000000000006,57.900000000000006,Nordrhein-Westfalen,NW
5113,201705113,2017,Essen,45.0,62.7,56.400000000000006,Nordrhein-Westfalen,NW
5114,200905114,2009,Krefeld,44.5,61.400000000000006,58.1,Nordrhein-Westfalen,NW
5114,201305114,2013,Krefeld,44.300000000000004,54.6,54.800000000000004,Nordrhein-Westfalen,NW
5114,201705114,2017,Krefeld,45.6,56.300000000000004,54.300000000000004,Nordrhein-Westfalen,NW
5116,200905116,2009,Mönchengladbach,44.1,59.0,54.2,Nordrhein-Westfalen,NW
5116,201305116,2013,Mönchengladbach,45.6,57.0,56.6,Nordrhein-Westfalen,NW
5116,201705116,2017,Mönchengladbach,46.400000000000006,55.0,58.900000000000006,Nordrhein-Westfalen,NW
5117,200905117,2009,Mülheim an der Ruhr,47.400000000000006,56.2,61.400000000000006,Nordrhein-Westfalen,NW
5117,201305117,2013,Mülheim an der Ruhr,46.2,54.2,56.0,Nordrhein-Westfalen,NW
5117,201705117,2017,Mülheim an der Ruhr,48.1,56.1,54.7,Nordrhein-Westfalen,NW
5119,200905119,2009,Oberhausen,46.7,61.2,56.900000000000006,Nordrhein-Westfalen,NW
5119,201305119,2013,Oberhausen,48.2,62.800000000000004,57.400000000000006,Nordrhein-Westfalen,NW
5119,201705119,2017,Oberhausen,49.7,60.7,55.0,Nordrhein-Westfalen,NW
