,YearSchluessel,Year,Stadt-/Landkreis,Altenquotient,Jugendquotient,Gesamtquotient,LAND_NAME,LAND_ABK
3360,200503360,2005,Landkreis Uelzen,40.5,36.5,77.0,Niedersachsen,NI
3360,200903360,2009,Landkreis Uelzen,43.400000000000006,34.7,78.10000000000001,Niedersachsen,NI
3360,201303360,2013,Landkreis Uelzen,42.0,31.400000000000002,73.5,Niedersachsen,NI
3360,201703360,2017,Landkreis Uelzen,43.5,30.400000000000002,73.8,Niedersachsen,NI
3361,199503361,1995,Landkreis Verden,22.6,36.4,59.0,Niedersachsen,NI
3361,200003361,2000,Landkreis Verden,24.200000000000003,37.5,61.7,Niedersachsen,NI
3361,200503361,2005,Landkreis Verden,30.0,37.6,67.60000000000001,Niedersachsen,NI
3361,200903361,2009,Landkreis Verden,33.7,35.9,69.60000000000001,Niedersachsen,NI
3361,201303361,2013,Landkreis Verden,35.300000000000004,34.1,69.4,Niedersachsen,NI
3361,201703361,2017,Landkreis Verden,37.800000000000004,34.1,71.9,Niedersachsen,NI
3401,199503401,1995,Delmenhorst,22.700000000000003,32.7,55.400000000000006,Niedersachsen,NI
3401,200003401,2000,Delmenhorst,25.3,33.9,59.2,Niedersachsen,NI
3401,200503401,2005,Delmenhorst,32.1,35.1,67.10000000000001,Niedersachsen,NI
3401,200903401,2009,Delmenhorst,36.1,33.4,69.5,Niedersachsen,NI
3401,201303401,2013,Delmenhorst,37.2,31.3,68.60000000000001,Niedersachsen,NI
3401,201703401,2017,Delmenhorst,37.5,33.300000000000004,70.8,Niedersachsen,NI
3402,199503402,1995,Emden,27.5,35.300000000000004,62.800000000000004,Niedersachsen,NI
3402,200003402,2000,Emden,29.5,35.6,65.0,Niedersachsen,NI
3402,200503402,2005,Emden,32.4,34.4,66.8,Niedersachsen,NI
3402,200903402,2009,Emden,34.2,32.9,67.0,Niedersachsen,NI
3402,201303402,2013,Emden,34.2,31.700000000000003,65.9,Niedersachsen,NI
3402,201703402,2017,Emden,35.1,31.900000000000002,67.0,Niedersachsen,NI
3403,199503403,1995,Oldenburg,24.8,28.5,53.400000000000006,Niedersachsen,NI
3403,200003403,2000,Oldenburg,24.8,29.6,54.400000000000006,Niedersachsen,NI
3403,200503403,2005,Oldenburg,27.5,29.3,56.800000000000004,Niedersachsen,NI
3403,200903403,2009,Oldenburg,29.0,28.700000000000003,57.7,Niedersachsen,NI
