,YearSchluessel,Year,Stadt-/Landkreis,BIP je Einwohner in EUR,LAND_NAME,LAND_ABK
5113,200505113,2005,Essen,32188.0,Nordrhein-Westfalen,NW
5113,200905113,2009,Essen,40604.0,Nordrhein-Westfalen,NW
5113,201305113,2013,Essen,40377.0,Nordrhein-Westfalen,NW
5113,201605113,2016,Essen,41512.0,Nordrhein-Westfalen,NW
5114,200005114,2000,Krefeld,31313.0,Nordrhein-Westfalen,NW
5114,200505114,2005,Krefeld,35036.0,Nordrhein-Westfalen,NW
5114,200905114,2009,Krefeld,33921.0,Nordrhein-Westfalen,NW
5114,201305114,2013,Krefeld,35768.0,Nordrhein-Westfalen,NW
5114,201605114,2016,Krefeld,37399.0,Nordrhein-Westfalen,NW
5116,200005116,2000,Mönchengladbach,23295.0,Nordrhein-Westfalen,NW
5116,200505116,2005,Mönchengladbach,24385.0,Nordrhein-Westfalen,NW
5116,200905116,2009,Mönchengladbach,26566.0,Nordrhein-Westfalen,NW
5116,201305116,2013,Mönchengladbach,29910.0,Nordrhein-Westfalen,NW
5116,201605116,2016,Mönchengladbach,33442.0,Nordrhein-Westfalen,NW
5117,200005117,2000,Mülheim an der Ruhr,24300.0,Nordrhein-Westfalen,NW
5117,200505117,2005,Mülheim an der Ruhr,28617.0,Nordrhein-Westfalen,NW
5117,200905117,2009,Mülheim an der Ruhr,33112.0,Nordrhein-Westfalen,NW
5117,201305117,2013,Mülheim an der Ruhr,32598.0,Nordrhein-Westfalen,NW
5117,201605117,2016,Mülheim an der Ruhr,33188.0,Nordrhein-Westfalen,NW
5119,200005119,2000,Oberhausen,19902.0,Nordrhein-Westfalen,NW
5119,200505119,2005,Oberhausen,21838.0,Nordrhein-Westfalen,NW
5119,200905119,2009,Oberhausen,23906.0,Nordrhein-Westfalen,NW
5119,201305119,2013,Oberhausen,27193.0,Nordrhein-Westfalen,NW
5119,201605119,2016,Oberhausen,27769.0,Nordrhein-Westfalen,NW
5120,200005120,2000,Remscheid,26639.0,Nordrhein-Westfalen,NW
5120,200505120,2005,Remscheid,27779.0,Nordrhein-Westfalen,NW
5120,200905120,2009,Remscheid,27908.0,Nordrhein-Westfalen,NW
5120,201305120,2013,Remscheid,33115.0,Nordrhein-Westfalen,NW
5120,201605120,2016,Remscheid,34736.0,Nordrhein-Westfalen,NW
5122,200005122,2000,Solingen,21542.0,Nordrhein-Westfalen,NW
5122,200505122,2005,Solingen,23496.0,Nordrhein-Westfalen,NW
5122,200905122,2009,Solingen,24215.0,Nordrhein-Westfalen,NW
5122,201305122,2013,Solingen,28190.0,Nordrhein-Westfalen,NW
5122,201605122,2016,Solingen,31277.0,Nordrhein-Westfalen,NW
5124,200005124,2000,Wuppertal,27980.0,Nordrhein-Westfalen,NW
5124,200505124,2005,Wuppertal,28524.0,Nordrhein-Westfalen,NW
5124,200905124,2009,Wuppertal,30429.0,Nordrhein-Westfalen,NW
