,YearSchluessel,Year,Stadt-/Landkreis,Unternehmensinsolvenzen je 10.000 st.-pfl. Untern.,LAND_NAME,LAND_ABK
5158,201705158,2017,Kreis Mettmann,91.5,Nordrhein-Westfalen,NW
5162,200905162,2009,Rhein-Kreis Neuss,161.10000000000002,Nordrhein-Westfalen,NW
5162,201305162,2013,Rhein-Kreis Neuss,124.7,Nordrhein-Westfalen,NW
5162,201705162,2017,Rhein-Kreis Neuss,73.0,Nordrhein-Westfalen,NW
5166,200905166,2009,Kreis Viersen,180.3,Nordrhein-Westfalen,NW
5166,201305166,2013,Kreis Viersen,124.80000000000001,Nordrhein-Westfalen,NW
5166,201705166,2017,Kreis Viersen,74.9,Nordrhein-Westfalen,NW
5170,200905170,2009,Kreis Wesel,184.10000000000002,Nordrhein-Westfalen,NW
5170,201305170,2013,Kreis Wesel,156.60000000000002,Nordrhein-Westfalen,NW
5170,201705170,2017,Kreis Wesel,76.60000000000001,Nordrhein-Westfalen,NW
5314,200905314,2009,Bonn,149.6,Nordrhein-Westfalen,NW
5314,201305314,2013,Bonn,97.0,Nordrhein-Westfalen,NW
5314,201705314,2017,Bonn,63.300000000000004,Nordrhein-Westfalen,NW
5315,200905315,2009,Köln,149.3,Nordrhein-Westfalen,NW
5315,201305315,2013,Köln,120.10000000000001,Nordrhein-Westfalen,NW
5315,201705315,2017,Köln,82.10000000000001,Nordrhein-Westfalen,NW
5316,200905316,2009,Leverkusen,207.20000000000002,Nordrhein-Westfalen,NW
5316,201305316,2013,Leverkusen,142.4,Nordrhein-Westfalen,NW
5316,201705316,2017,Leverkusen,100.9,Nordrhein-Westfalen,NW
5334,200905334,2009,Aachen,160.5,Nordrhein-Westfalen,NW
5334,201305334,2013,Aachen,132.70000000000002,Nordrhein-Westfalen,NW
5334,201705334,2017,Aachen,79.5,Nordrhein-Westfalen,NW
5354,200905354,2009,Kreis Aachen,,Nordrhein-Westfalen,NW
5354,201305354,2013,Kreis Aachen,,Nordrhein-Westfalen,NW
5354,201705354,2017,Kreis Aachen,,Nordrhein-Westfalen,NW
5358,200905358,2009,Kreis Düren,198.9,Nordrhein-Westfalen,NW
5358,201305358,2013,Kreis Düren,142.20000000000002,Nordrhein-Westfalen,NW
5358,201705358,2017,Kreis Düren,90.7,Nordrhein-Westfalen,NW
5362,200905362,2009,Rhein-Erft-Kreis,172.4,Nordrhein-Westfalen,NW
5362,201305362,2013,Rhein-Erft-Kreis,133.70000000000002,Nordrhein-Westfalen,NW
5362,201705362,2017,Rhein-Erft-Kreis,93.10000000000001,Nordrhein-Westfalen,NW
5366,200905366,2009,Kreis Euskirchen,190.4,Nordrhein-Westfalen,NW
5366,201305366,2013,Kreis Euskirchen,146.5,Nordrhein-Westfalen,NW
5366,201705366,2017,Kreis Euskirchen,62.800000000000004,Nordrhein-Westfalen,NW
5370,200905370,2009,Kreis Heinsberg,170.20000000000002,Nordrhein-Westfalen,NW
