,YearSchluessel,Year,Stadt-/Landkreis,Anteil neue Wohngebäude mit 1 oder 2 Wohnungen in Prozent,LAND_NAME,LAND_ABK
3401,200503401,2005,Delmenhorst,89.60000000000001,Niedersachsen,NI
3401,200903401,2009,Delmenhorst,96.80000000000001,Niedersachsen,NI
3401,201303401,2013,Delmenhorst,84.5,Niedersachsen,NI
3401,201703401,2017,Delmenhorst,73.7,Niedersachsen,NI
3402,199503402,1995,Emden,85.4,Niedersachsen,NI
3402,200003402,2000,Emden,96.80000000000001,Niedersachsen,NI
3402,200503402,2005,Emden,98.80000000000001,Niedersachsen,NI
3402,200903402,2009,Emden,88.9,Niedersachsen,NI
3402,201303402,2013,Emden,85.7,Niedersachsen,NI
3402,201703402,2017,Emden,76.7,Niedersachsen,NI
3403,199503403,1995,Oldenburg,78.80000000000001,Niedersachsen,NI
3403,200003403,2000,Oldenburg,94.4,Niedersachsen,NI
3403,200503403,2005,Oldenburg,95.30000000000001,Niedersachsen,NI
3403,200903403,2009,Oldenburg,88.10000000000001,Niedersachsen,NI
3403,201303403,2013,Oldenburg,72.2,Niedersachsen,NI
3403,201703403,2017,Oldenburg,66.0,Niedersachsen,NI
3404,199503404,1995,Osnabrück,54.900000000000006,Niedersachsen,NI
3404,200003404,2000,Osnabrück,88.7,Niedersachsen,NI
3404,200503404,2005,Osnabrück,94.10000000000001,Niedersachsen,NI
3404,200903404,2009,Osnabrück,94.4,Niedersachsen,NI
3404,201303404,2013,Osnabrück,91.4,Niedersachsen,NI
3404,201703404,2017,Osnabrück,82.2,Niedersachsen,NI
3405,199503405,1995,Wilhelmshaven,88.5,Niedersachsen,NI
3405,200003405,2000,Wilhelmshaven,98.7,Niedersachsen,NI
3405,200503405,2005,Wilhelmshaven,100.0,Niedersachsen,NI
3405,200903405,2009,Wilhelmshaven,92.7,Niedersachsen,NI
3405,201303405,2013,Wilhelmshaven,100.0,Niedersachsen,NI
3405,201703405,2017,Wilhelmshaven,98.2,Niedersachsen,NI
3451,199503451,1995,Landkreis Ammerland,90.60000000000001,Niedersachsen,NI
3451,200003451,2000,Landkreis Ammerland,97.10000000000001,Niedersachsen,NI
3451,200503451,2005,Landkreis Ammerland,99.0,Niedersachsen,NI
3451,200903451,2009,Landkreis Ammerland,93.80000000000001,Niedersachsen,NI
3451,201303451,2013,Landkreis Ammerland,89.80000000000001,Niedersachsen,NI
3451,201703451,2017,Landkreis Ammerland,89.0,Niedersachsen,NI
3452,199503452,1995,Landkreis Aurich,89.4,Niedersachsen,NI
3452,200003452,2000,Landkreis Aurich,96.0,Niedersachsen,NI
3452,200503452,2005,Landkreis Aurich,97.2,Niedersachsen,NI
3452,200903452,2009,Landkreis Aurich,93.4,Niedersachsen,NI
3452,201303452,2013,Landkreis Aurich,87.9,Niedersachsen,NI
3452,201703452,2017,Landkreis Aurich,91.4,Niedersachsen,NI
3453,199503453,1995,Landkreis Cloppenburg,90.7,Niedersachsen,NI
3453,200003453,2000,Landkreis Cloppenburg,95.5,Niedersachsen,NI
3453,200503453,2005,Landkreis Cloppenburg,96.4,Niedersachsen,NI
3453,200903453,2009,Landkreis Cloppenburg,94.9,Niedersachsen,NI
3453,201303453,2013,Landkreis Cloppenburg,92.0,Niedersachsen,NI
3453,201703453,2017,Landkreis Cloppenburg,91.9,Niedersachsen,NI
3454,199503454,1995,Landkreis Emsland,88.10000000000001,Niedersachsen,NI
3454,200003454,2000,Landkreis Emsland,97.9,Niedersachsen,NI
3454,200503454,2005,Landkreis Emsland,98.30000000000001,Niedersachsen,NI
3454,200903454,2009,Landkreis Emsland,96.30000000000001,Niedersachsen,NI
3454,201303454,2013,Landkreis Emsland,91.5,Niedersachsen,NI
3454,201703454,2017,Landkreis Emsland,89.0,Niedersachsen,NI
3455,199503455,1995,Landkreis Friesland,85.7,Niedersachsen,NI
3455,200003455,2000,Landkreis Friesland,92.80000000000001,Niedersachsen,NI
3455,200503455,2005,Landkreis Friesland,97.60000000000001,Niedersachsen,NI
3455,200903455,2009,Landkreis Friesland,97.9,Niedersachsen,NI
3455,201303455,2013,Landkreis Friesland,88.10000000000001,Niedersachsen,NI
3455,201703455,2017,Landkreis Friesland,90.5,Niedersachsen,NI
3456,199503456,1995,Landkreis Grafschaft Bentheim,90.30000000000001,Niedersachsen,NI
3456,200003456,2000,Landkreis Grafschaft Bentheim,94.2,Niedersachsen,NI
3456,200503456,2005,Landkreis Grafschaft Bentheim,97.5,Niedersachsen,NI
3456,200903456,2009,Landkreis Grafschaft Bentheim,93.60000000000001,Niedersachsen,NI
3456,201303456,2013,Landkreis Grafschaft Bentheim,91.10000000000001,Niedersachsen,NI
3456,201703456,2017,Landkreis Grafschaft Bentheim,89.5,Niedersachsen,NI
3457,199503457,1995,Landkreis Leer,90.5,Niedersachsen,NI
3457,200003457,2000,Landkreis Leer,97.9,Niedersachsen,NI
3457,200503457,2005,Landkreis Leer,96.4,Niedersachsen,NI
3457,200903457,2009,Landkreis Leer,95.0,Niedersachsen,NI
3457,201303457,2013,Landkreis Leer,94.9,Niedersachsen,NI
3457,201703457,2017,Landkreis Leer,91.30000000000001,Niedersachsen,NI
3458,199503458,1995,Landkreis Oldenburg (Land),88.0,Niedersachsen,NI
3458,200003458,2000,Landkreis Oldenburg (Land),96.7,Niedersachsen,NI
3458,200503458,2005,Landkreis Oldenburg (Land),98.0,Niedersachsen,NI
3458,200903458,2009,Landkreis Oldenburg (Land),95.9,Niedersachsen,NI
3458,201303458,2013,Landkreis Oldenburg (Land),91.5,Niedersachsen,NI
3458,201703458,2017,Landkreis Oldenburg (Land),94.10000000000001,Niedersachsen,NI
3459,199503459,1995,Landkreis Osnabrück (Land),82.9,Niedersachsen,NI
3459,200003459,2000,Landkreis Osnabrück (Land),95.10000000000001,Niedersachsen,NI
3459,200503459,2005,Landkreis Osnabrück (Land),98.10000000000001,Niedersachsen,NI
3459,200903459,2009,Landkreis Osnabrück (Land),97.30000000000001,Niedersachsen,NI
3459,201303459,2013,Landkreis Osnabrück (Land),93.80000000000001,Niedersachsen,NI
3459,201703459,2017,Landkreis Osnabrück (Land),89.4,Niedersachsen,NI
3460,199503460,1995,Landkreis Vechta,88.7,Niedersachsen,NI
3460,200003460,2000,Landkreis Vechta,96.5,Niedersachsen,NI
3460,200503460,2005,Landkreis Vechta,96.4,Niedersachsen,NI
3460,200903460,2009,Landkreis Vechta,96.10000000000001,Niedersachsen,NI
3460,201303460,2013,Landkreis Vechta,91.4,Niedersachsen,NI
