,YearSchluessel,Year,Stadt-/Landkreis,Gewerbeanmeldungen je 10.000 Einwohner,LAND_NAME,LAND_ABK
5358,201305358,2013,Kreis Düren,79.4,Nordrhein-Westfalen,NW
5358,201705358,2017,Kreis Düren,80.80000000000001,Nordrhein-Westfalen,NW
5362,200905362,2009,Rhein-Erft-Kreis,101.5,Nordrhein-Westfalen,NW
5362,201305362,2013,Rhein-Erft-Kreis,98.0,Nordrhein-Westfalen,NW
5362,201705362,2017,Rhein-Erft-Kreis,92.9,Nordrhein-Westfalen,NW
5366,200905366,2009,Kreis Euskirchen,101.30000000000001,Nordrhein-Westfalen,NW
5366,201305366,2013,Kreis Euskirchen,84.60000000000001,Nordrhein-Westfalen,NW
5366,201705366,2017,Kreis Euskirchen,88.2,Nordrhein-Westfalen,NW
5370,200905370,2009,Kreis Heinsberg,103.5,Nordrhein-Westfalen,NW
5370,201305370,2013,Kreis Heinsberg,87.2,Nordrhein-Westfalen,NW
5370,201705370,2017,Kreis Heinsberg,73.9,Nordrhein-Westfalen,NW
5374,200905374,2009,Oberbergischer Kreis,85.5,Nordrhein-Westfalen,NW
5374,201305374,2013,Oberbergischer Kreis,76.7,Nordrhein-Westfalen,NW
5374,201705374,2017,Oberbergischer Kreis,76.2,Nordrhein-Westfalen,NW
5378,200905378,2009,Rheinisch-Bergischer Kreis,103.60000000000001,Nordrhein-Westfalen,NW
5378,201305378,2013,Rheinisch-Bergischer Kreis,89.2,Nordrhein-Westfalen,NW
5378,201705378,2017,Rheinisch-Bergischer Kreis,74.3,Nordrhein-Westfalen,NW
5382,200905382,2009,Rhein-Sieg-Kreis,98.80000000000001,Nordrhein-Westfalen,NW
5382,201305382,2013,Rhein-Sieg-Kreis,97.2,Nordrhein-Westfalen,NW
5382,201705382,2017,Rhein-Sieg-Kreis,90.0,Nordrhein-Westfalen,NW
5512,200905512,2009,Bottrop,86.7,Nordrhein-Westfalen,NW
5512,201305512,2013,Bottrop,64.9,Nordrhein-Westfalen,NW
5512,201705512,2017,Bottrop,66.3,Nordrhein-Westfalen,NW
5513,200905513,2009,Gelsenkirchen,72.7,Nordrhein-Westfalen,NW
5513,201305513,2013,Gelsenkirchen,93.9,Nordrhein-Westfalen,NW
5513,201705513,2017,Gelsenkirchen,71.4,Nordrhein-Westfalen,NW
5515,200905515,2009,Münster,84.80000000000001,Nordrhein-Westfalen,NW
5515,201305515,2013,Münster,69.10000000000001,Nordrhein-Westfalen,NW
5515,201705515,2017,Münster,57.2,Nordrhein-Westfalen,NW
5554,200905554,2009,Kreis Borken,110.4,Nordrhein-Westfalen,NW
5554,201305554,2013,Kreis Borken,63.1,Nordrhein-Westfalen,NW
5554,201705554,2017,Kreis Borken,63.7,Nordrhein-Westfalen,NW
5558,200905558,2009,Kreis Coesfeld,78.0,Nordrhein-Westfalen,NW
5558,201305558,2013,Kreis Coesfeld,62.300000000000004,Nordrhein-Westfalen,NW
5558,201705558,2017,Kreis Coesfeld,61.6,Nordrhein-Westfalen,NW
5562,200905562,2009,Kreis Recklinghausen,77.0,Nordrhein-Westfalen,NW
5562,201305562,2013,Kreis Recklinghausen,70.10000000000001,Nordrhein-Westfalen,NW
5562,201705562,2017,Kreis Recklinghausen,65.5,Nordrhein-Westfalen,NW
5566,200905566,2009,Kreis Steinfurt,82.60000000000001,Nordrhein-Westfalen,NW
5566,201305566,2013,Kreis Steinfurt,61.5,Nordrhein-Westfalen,NW
5566,201705566,2017,Kreis Steinfurt,64.8,Nordrhein-Westfalen,NW
5570,200905570,2009,Kreis Warendorf,81.60000000000001,Nordrhein-Westfalen,NW
5570,201305570,2013,Kreis Warendorf,60.2,Nordrhein-Westfalen,NW
5570,201705570,2017,Kreis Warendorf,55.6,Nordrhein-Westfalen,NW
5711,200905711,2009,Bielefeld,92.2,Nordrhein-Westfalen,NW
5711,201305711,2013,Bielefeld,81.7,Nordrhein-Westfalen,NW
5711,201705711,2017,Bielefeld,74.0,Nordrhein-Westfalen,NW
5754,200905754,2009,Kreis Gütersloh,82.10000000000001,Nordrhein-Westfalen,NW
5754,201305754,2013,Kreis Gütersloh,74.2,Nordrhein-Westfalen,NW
5754,201705754,2017,Kreis Gütersloh,71.3,Nordrhein-Westfalen,NW
5758,200905758,2009,Kreis Herford,99.4,Nordrhein-Westfalen,NW
5758,201305758,2013,Kreis Herford,85.80000000000001,Nordrhein-Westfalen,NW
5758,201705758,2017,Kreis Herford,82.7,Nordrhein-Westfalen,NW
5762,200905762,2009,Kreis Höxter,95.5,Nordrhein-Westfalen,NW
5762,201305762,2013,Kreis Höxter,54.1,Nordrhein-Westfalen,NW
5762,201705762,2017,Kreis Höxter,56.6,Nordrhein-Westfalen,NW
5766,200905766,2009,Kreis Lippe,91.0,Nordrhein-Westfalen,NW
5766,201305766,2013,Kreis Lippe,76.10000000000001,Nordrhein-Westfalen,NW
5766,201705766,2017,Kreis Lippe,75.7,Nordrhein-Westfalen,NW
5770,200905770,2009,Kreis Minden-Lübbecke,92.2,Nordrhein-Westfalen,NW
5770,201305770,2013,Kreis Minden-Lübbecke,69.60000000000001,Nordrhein-Westfalen,NW
5770,201705770,2017,Kreis Minden-Lübbecke,67.60000000000001,Nordrhein-Westfalen,NW
5774,200905774,2009,Kreis Paderborn,96.30000000000001,Nordrhein-Westfalen,NW
5774,201305774,2013,Kreis Paderborn,75.5,Nordrhein-Westfalen,NW
5774,201705774,2017,Kreis Paderborn,74.5,Nordrhein-Westfalen,NW
5911,200905911,2009,Bochum,79.60000000000001,Nordrhein-Westfalen,NW
5911,201305911,2013,Bochum,75.3,Nordrhein-Westfalen,NW
5911,201705911,2017,Bochum,67.5,Nordrhein-Westfalen,NW
5913,200905913,2009,Dortmund,106.7,Nordrhein-Westfalen,NW
5913,201305913,2013,Dortmund,84.9,Nordrhein-Westfalen,NW
5913,201705913,2017,Dortmund,67.7,Nordrhein-Westfalen,NW
5914,200905914,2009,Hagen,73.7,Nordrhein-Westfalen,NW
5914,201305914,2013,Hagen,70.5,Nordrhein-Westfalen,NW
5914,201705914,2017,Hagen,60.0,Nordrhein-Westfalen,NW
5915,200905915,2009,Hamm,81.10000000000001,Nordrhein-Westfalen,NW
