,YearSchluessel,Year,Stadt-/Landkreis,Wanderungssaldo je 10.000 Einwohner,LAND_NAME,LAND_ABK
3256,200503256,2005,Landkreis Nienburg (Weser),7.0,Niedersachsen,NI
3256,200903256,2009,Landkreis Nienburg (Weser),-30.0,Niedersachsen,NI
3256,201303256,2013,Landkreis Nienburg (Weser),7.4,Niedersachsen,NI
3256,201703256,2017,Landkreis Nienburg (Weser),42.0,Niedersachsen,NI
3257,199503257,1995,Landkreis Schaumburg,105.60000000000001,Niedersachsen,NI
3257,200003257,2000,Landkreis Schaumburg,47.800000000000004,Niedersachsen,NI
3257,200503257,2005,Landkreis Schaumburg,8.1,Niedersachsen,NI
3257,200903257,2009,Landkreis Schaumburg,-17.7,Niedersachsen,NI
3257,201303257,2013,Landkreis Schaumburg,32.9,Niedersachsen,NI
3257,201703257,2017,Landkreis Schaumburg,83.4,Niedersachsen,NI
3351,199503351,1995,Landkreis Celle,112.0,Niedersachsen,NI
3351,200003351,2000,Landkreis Celle,30.3,Niedersachsen,NI
3351,200503351,2005,Landkreis Celle,4.5,Niedersachsen,NI
3351,200903351,2009,Landkreis Celle,-11.100000000000001,Niedersachsen,NI
3351,201303351,2013,Landkreis Celle,32.300000000000004,Niedersachsen,NI
3351,201703351,2017,Landkreis Celle,61.7,Niedersachsen,NI
3352,199503352,1995,Landkreis Cuxhaven,95.7,Niedersachsen,NI
3352,200003352,2000,Landkreis Cuxhaven,70.2,Niedersachsen,NI
3352,200503352,2005,Landkreis Cuxhaven,-1.4000000000000001,Niedersachsen,NI
3352,200903352,2009,Landkreis Cuxhaven,6.300000000000001,Niedersachsen,NI
3352,201303352,2013,Landkreis Cuxhaven,16.3,Niedersachsen,NI
3352,201703352,2017,Landkreis Cuxhaven,25.200000000000003,Niedersachsen,NI
3353,199503353,1995,Landkreis Harburg,152.4,Niedersachsen,NI
3353,200003353,2000,Landkreis Harburg,111.0,Niedersachsen,NI
3353,200503353,2005,Landkreis Harburg,81.30000000000001,Niedersachsen,NI
3353,200903353,2009,Landkreis Harburg,60.6,Niedersachsen,NI
3353,201303353,2013,Landkreis Harburg,103.60000000000001,Niedersachsen,NI
3353,201703353,2017,Landkreis Harburg,60.5,Niedersachsen,NI
3354,199503354,1995,Landkreis Lüchow-Dannenberg,149.5,Niedersachsen,NI
3354,200003354,2000,Landkreis Lüchow-Dannenberg,52.1,Niedersachsen,NI
3354,200503354,2005,Landkreis Lüchow-Dannenberg,8.3,Niedersachsen,NI
3354,200903354,2009,Landkreis Lüchow-Dannenberg,24.3,Niedersachsen,NI
3354,201303354,2013,Landkreis Lüchow-Dannenberg,21.3,Niedersachsen,NI
3354,201703354,2017,Landkreis Lüchow-Dannenberg,-18.7,Niedersachsen,NI
3355,199503355,1995,Landkreis Lüneburg,173.10000000000002,Niedersachsen,NI
3355,200003355,2000,Landkreis Lüneburg,141.5,Niedersachsen,NI
3355,200503355,2005,Landkreis Lüneburg,66.8,Niedersachsen,NI
3355,200903355,2009,Landkreis Lüneburg,43.400000000000006,Niedersachsen,NI
3355,201303355,2013,Landkreis Lüneburg,74.5,Niedersachsen,NI
3355,201703355,2017,Landkreis Lüneburg,87.80000000000001,Niedersachsen,NI
3356,199503356,1995,Landkreis Osterholz,100.60000000000001,Niedersachsen,NI
3356,200003356,2000,Landkreis Osterholz,101.30000000000001,Niedersachsen,NI
3356,200503356,2005,Landkreis Osterholz,22.6,Niedersachsen,NI
3356,200903356,2009,Landkreis Osterholz,2.0,Niedersachsen,NI
3356,201303356,2013,Landkreis Osterholz,46.0,Niedersachsen,NI
3356,201703356,2017,Landkreis Osterholz,68.3,Niedersachsen,NI
3357,199503357,1995,Landkreis Rotenburg (Wümme),199.60000000000002,Niedersachsen,NI
3357,200003357,2000,Landkreis Rotenburg (Wümme),88.9,Niedersachsen,NI
